0 | James Woods | The ILLEGAL immigration catastrophe is our nation’s biggest challenge, not because we Americans are not a welcoming… https://t.co/S34PJ8456L | @RealJamesWoods Well said James and absolutely correct! | 2
79 | Donald J. Trump | WE WILL PROTECT OUR SOUTHERN BORDER! https://t.co/Z7fqQKcnez | @realDonaldTrump Mr. President,  Lets work at facilating solutions for solving the political and economic refugee p… https://t.co/ptipfQpvgR | 1
80 | Donald J. Trump | WE WILL PROTECT OUR SOUTHERN BORDER! https://t.co/Z7fqQKcnez | @realDonaldTrump You’re a failure at everything. | 0
81 | Donald J. Trump | WE WILL PROTECT OUR SOUTHERN BORDER! https://t.co/Z7fqQKcnez | @realDonaldTrump When will you impose sanctions against Russia or spend one penny to secure our elections? | 0
82 | Donald J. Trump | WE WILL PROTECT OUR SOUTHERN BORDER! https://t.co/Z7fqQKcnez | @realDonaldTrump SO MANY TIMES MEXICO IS PAYING FOR WALL!!!!!THOUSANDS OF TIMES.. WHOSE PAYING FOR YOUR STUPID WALL… https://t.co/xDoR8wuggq | 0
83 | Donald J. Trump | WE WILL PROTECT OUR SOUTHERN BORDER! https://t.co/Z7fqQKcnez | @realDonaldTrump That sounds like a good idea.  Let’s pull the military out of Syria and put them on the Mexican Bo… https://t.co/IhWYGcieub | 2
84 | Donald J. Trump | WE WILL PROTECT OUR SOUTHERN BORDER! https://t.co/Z7fqQKcnez | @realDonaldTrump Your paranoid and delusional maybe now would be a good time to get off tge cocaine. | 0
85 | Donald J. Trump | WE WILL PROTECT OUR SOUTHERN BORDER! https://t.co/Z7fqQKcnez | @realDonaldTrump Come again? We didn’t hear you the first 1000 times 😂🤣🔥🍊🤡 | 0
86 | Donald J. Trump | WE WILL PROTECT OUR SOUTHERN BORDER! https://t.co/Z7fqQKcnez | @realDonaldTrump President Trump MRSA I believe is coming from the south. If you need a reason to guard the border,… https://t.co/ck3iITWbYB | 2
87 | Donald J. Trump | WE WILL PROTECT OUR SOUTHERN BORDER! https://t.co/Z7fqQKcnez | @realDonaldTrump We will be GLAD TO HELP #POTUS 🇺🇲🇺🇲🇺🇲🇺🇲🇺🇲🇺🇲🇺🇲🀄🀄🀄🀄🀄🀄♥️♥️♥️ #MAGA #GODFIRST #GREATAWAKENING https://t.co/wViRItKWgW | 2
88 | Donald J. Trump | WE WILL PROTECT OUR SOUTHERN BORDER! https://t.co/Z7fqQKcnez | @realDonaldTrump THANK YOU President Trump | 2
89 | Donald J. Trump | WE WILL PROTECT OUR SOUTHERN BORDER! https://t.co/Z7fqQKcnez | @realDonaldTrump I am so happy right now. You could not imagine. Thank you. | 2
90 | Donald J. Trump | WE WILL PROTECT OUR SOUTHERN BORDER! https://t.co/Z7fqQKcnez | @realDonaldTrump Thank you Mr President. | 2
91 | Donald J. Trump | WE WILL PROTECT OUR SOUTHERN BORDER! https://t.co/Z7fqQKcnez | @realDonaldTrump You need to start listening to the American people. We don’t care about your wall. We care about G… https://t.co/zJ7uMq3bWE | 0
92 | Donald J. Trump | WE WILL PROTECT OUR SOUTHERN BORDER! https://t.co/Z7fqQKcnez | @realDonaldTrump Only by booting you out of office. In fact that would help ensure the protection of our entire cou… https://t.co/0UTZhjSs2f | 0
93 | Donald J. Trump | WE WILL PROTECT OUR SOUTHERN BORDER! https://t.co/Z7fqQKcnez | @realDonaldTrump Complete buffoonery. | 0
94 | Donald J. Trump | WE WILL PROTECT OUR SOUTHERN BORDER! https://t.co/Z7fqQKcnez | @realDonaldTrump  https://t.co/kpTZD0BezO | 0
95 | Donald J. Trump | WE WILL PROTECT OUR SOUTHERN BORDER! https://t.co/Z7fqQKcnez | @realDonaldTrump Ohhh the Caravan the Caravan is coming the Caravan is heading the border at Mexico the Caravan is coming | 2
96 | Donald J. Trump | WE WILL PROTECT OUR SOUTHERN BORDER! https://t.co/Z7fqQKcnez | @realDonaldTrump You are stupid. | 0
97 | Donald J. Trump | WE WILL PROTECT OUR SOUTHERN BORDER! https://t.co/Z7fqQKcnez | @realDonaldTrump Having military boots on American soil in a military fashion is illegal. Where are the people in the military? | 0
98 | Donald J. Trump | WE WILL PROTECT OUR SOUTHERN BORDER! https://t.co/Z7fqQKcnez | @realDonaldTrump Yes we will.... | 2
99 | Donald J. Trump | WE WILL PROTECT OUR SOUTHERN BORDER! https://t.co/Z7fqQKcnez | @realDonaldTrump You should protect Americans from themselves with better harsher gun laws | 0
100 | Donald J. Trump | Was just briefed on the shooting at YouTube’s HQ in San Bruno, California. Our thoughts and prayers are with everyb… https://t.co/9gGGgoGDUv | @realDonaldTrump Keep your thoughts and prayers https://t.co/e9Ms5TumZs | 2
101 | Donald J. Trump | Was just briefed on the shooting at YouTube’s HQ in San Bruno, California. Our thoughts and prayers are with everyb… https://t.co/9gGGgoGDUv | @realDonaldTrump Thoughts and prayers. Basically, you aint doing shit and dont really care. Thoughts and prayers are as useful as you are. | 0
102 | Donald J. Trump | Was just briefed on the shooting at YouTube’s HQ in San Bruno, California. Our thoughts and prayers are with everyb… https://t.co/9gGGgoGDUv | @realDonaldTrump You just worry about Russia, cadet bone spurs. Let the real patriots and heroes handle the rough s… https://t.co/SR49b7lbTU | 0
103 | Donald J. Trump | Was just briefed on the shooting at YouTube’s HQ in San Bruno, California. Our thoughts and prayers are with everyb… https://t.co/9gGGgoGDUv | @realDonaldTrump Well here we go with "Thoughts and Prayers" again. I bet you dont spend 2 minutes thinking about… https://t.co/HDQcwci94s | 0
104 | Donald J. Trump | Was just briefed on the shooting at YouTube’s HQ in San Bruno, California. Our thoughts and prayers are with everyb… https://t.co/9gGGgoGDUv | @realDonaldTrump Shut up. | 0
105 | Donald J. Trump | Was just briefed on the shooting at YouTube’s HQ in San Bruno, California. Our thoughts and prayers are with everyb… https://t.co/9gGGgoGDUv | @realDonaldTrump Your thoughts and prayers are worthless to me. | 0
106 | Donald J. Trump | Was just briefed on the shooting at YouTube’s HQ in San Bruno, California. Our thoughts and prayers are with everyb… https://t.co/9gGGgoGDUv | @realDonaldTrump Thots and preys | 0
107 | Donald J. Trump | Was just briefed on the shooting at YouTube’s HQ in San Bruno, California. Our thoughts and prayers are with everyb… https://t.co/9gGGgoGDUv | @realDonaldTrump @SonyaSone7 Yes | 2
108 | Donald J. Trump | Was just briefed on the shooting at YouTube’s HQ in San Bruno, California. Our thoughts and prayers are with everyb… https://t.co/9gGGgoGDUv | @realDonaldTrump  https://t.co/WItmLWc3AH | 0
109 | Donald J. Trump | Was just briefed on the shooting at YouTube’s HQ in San Bruno, California. Our thoughts and prayers are with everyb… https://t.co/9gGGgoGDUv | @realDonaldTrump What are thoughts and prayers gonna do? You really need to pull your finger out and ban guns altog… https://t.co/0z2fTHBqcY | 0
110 | Donald J. Trump | Was just briefed on the shooting at YouTube’s HQ in San Bruno, California. Our thoughts and prayers are with everyb… https://t.co/9gGGgoGDUv | @realDonaldTrump Thoughts and prayers .... how original!! | 0
111 | Donald J. Trump | Was just briefed on the shooting at YouTube’s HQ in San Bruno, California. Our thoughts and prayers are with everyb… https://t.co/9gGGgoGDUv | @realDonaldTrump THERE U GO AGAIN WITH YOUR MEANINGLESS THOUGHTS AND PRAYERS..WHEN ARE YOU GOING TO DO SOMETHING AB… https://t.co/HEG0h5Jw8M | 0
112 | Donald J. Trump | Was just briefed on the shooting at YouTube’s HQ in San Bruno, California. Our thoughts and prayers are with everyb… https://t.co/9gGGgoGDUv | @realDonaldTrump This shit’s your fucking fault. Do something about it! Your “thoughts and prayers” don’t mean shit | 0
113 | Donald J. Trump | Was just briefed on the shooting at YouTube’s HQ in San Bruno, California. Our thoughts and prayers are with everyb… https://t.co/9gGGgoGDUv | .@realDonaldTrump  You have absolutely no thoughts and you dont know what prayer is... So yeah. | 0
114 | Donald J. Trump | Was just briefed on the shooting at YouTube’s HQ in San Bruno, California. Our thoughts and prayers are with everyb… https://t.co/9gGGgoGDUv | @realDonaldTrump And again you do nothing but offer "thoughts and prayers" how many people will have to die before… https://t.co/VoSXVgsJaC | 0
115 | Donald J. Trump | Was just briefed on the shooting at YouTube’s HQ in San Bruno, California. Our thoughts and prayers are with everyb… https://t.co/9gGGgoGDUv | @realDonaldTrump Congrats intern on a typo-free tweet | 0
116 | Donald J. Trump | Was just briefed on the shooting at YouTube’s HQ in San Bruno, California. Our thoughts and prayers are with everyb… https://t.co/9gGGgoGDUv | @realDonaldTrump More thoughts and prayers?  That’s helping so much. Oh, wait..... | 0
117 | Donald J. Trump | Was just briefed on the shooting at YouTube’s HQ in San Bruno, California. Our thoughts and prayers are with everyb… https://t.co/9gGGgoGDUv | @realDonaldTrump More thoughts and prayers with no action to back them up | 0
118 | Donald J. Trump | Was just briefed on the shooting at YouTube’s HQ in San Bruno, California. Our thoughts and prayers are with everyb… https://t.co/9gGGgoGDUv | @realDonaldTrump Your thoughts and prayers are heard. ;) Keep it up! It’s super effective! You can tell by how many… https://t.co/OMuamIbBc1 | 0
119 | Donald J. Trump | Was just briefed on the shooting at YouTube’s HQ in San Bruno, California. Our thoughts and prayers are with everyb… https://t.co/9gGGgoGDUv | @realDonaldTrump Worthless pos. https://t.co/U46f2uJ2tE | 0
120 | Donald J. Trump | Was just briefed on the shooting at YouTube’s HQ in San Bruno, California. Our thoughts and prayers are with everyb… https://t.co/9gGGgoGDUv | @realDonaldTrump Hey, Trumpelstilzkin, how many pictures did your briefing had to contain for you to pay attention?… https://t.co/hL5n1DelRO | 0
121 | Donald J. Trump | Was just briefed on the shooting at YouTube’s HQ in San Bruno, California. Our thoughts and prayers are with everyb… https://t.co/9gGGgoGDUv | @realDonaldTrump My thoughts and prayers are with #FLOTUS dealing with your tiny #penis ... | 0
122 | Donald J. Trump | Was just briefed on the shooting at YouTube’s HQ in San Bruno, California. Our thoughts and prayers are with everyb… https://t.co/9gGGgoGDUv | @realDonaldTrump So basically a big screw you to the victims as long as the NRA line your grifting pockets. | 0
123 | Donald J. Trump | Was just briefed on the shooting at YouTube’s HQ in San Bruno, California. Our thoughts and prayers are with everyb… https://t.co/9gGGgoGDUv | @realDonaldTrump @Trump So #America wont allow Kinder surprise Eggs because its a choking hazard but People are a… https://t.co/7d7dDVpqo8 | 0
124 | Donald J. Trump | Was just briefed on the shooting at YouTube’s HQ in San Bruno, California. Our thoughts and prayers are with everyb… https://t.co/9gGGgoGDUv | @realDonaldTrump Nobody wants your Bots & prayers. | 0
125 | Donald J. Trump | Was just briefed on the shooting at YouTube’s HQ in San Bruno, California. Our thoughts and prayers are with everyb… https://t.co/9gGGgoGDUv | @realDonaldTrump Do something about this!!! Step up and ban assault rifles. Have some balls man. | 0
126 | Donald J. Trump | Was just briefed on the shooting at YouTube’s HQ in San Bruno, California. Our thoughts and prayers are with everyb… https://t.co/9gGGgoGDUv | @realDonaldTrump Your thoughts and prayers are meaningless. Theyll be less thoughts and prayers if we had strict g… https://t.co/TUWzKrZHjl | 0
127 | Donald J. Trump | Was just briefed on the shooting at YouTube’s HQ in San Bruno, California. Our thoughts and prayers are with everyb… https://t.co/9gGGgoGDUv | @realDonaldTrump Help is on the way!😒 https://t.co/7Gvv45w2l3 | 0
128 | Donald J. Trump | Was just briefed on the shooting at YouTube’s HQ in San Bruno, California. Our thoughts and prayers are with everyb… https://t.co/9gGGgoGDUv | @realDonaldTrump You mean FBI? | 1
