0 | Donald J. Trump | WITCH HUNT! | @realDonaldTrump  https://t.co/PD908F2M1Y | 1
21 | Donald J. Trump | WITCH HUNT! | @realDonaldTrump  https://t.co/xeOxLdiaHr | 0
22 | Donald J. Trump | WITCH HUNT! | @realDonaldTrump Too bad you’re a fucking witch! https://t.co/gnIleg3Ybu | 0
23 | Donald J. Trump | WITCH HUNT! | @realDonaldTrump "Thou dost protest too much, methinks" \n- Shakespeare\nImpeachment is imminent: To avoid taking the… https://t.co/5mGWNEBvZm | 0
24 | Donald J. Trump | WITCH HUNT! | @realDonaldTrump Then please go meet with Mr. Mueller face to face to clear this up. I am sure he has a very detail… https://t.co/WAXbqdDPAt | 0
25 | Donald J. Trump | WITCH HUNT! | @realDonaldTrump I thought this Mueller investigation was supposed to be wrapped up by Thanksgiving, or Christmas,… https://t.co/gksd0bTX2L | 0
26 | Donald J. Trump | WITCH HUNT! | @realDonaldTrump Donald, you bloated, dust for blood simpleton, witches are angels. You are quite simply, after che… https://t.co/I70pgove6N | 0
27 | Donald J. Trump | WITCH HUNT! | @realDonaldTrump You win.  YOU are the top WITCH!\n\n#TrumpISGoingDown | 0
28 | Donald J. Trump | WITCH HUNT! | @realDonaldTrump Bwahahaha!  More like FELONY HUNT!!  Hey Don the Con!  The noose is getting tighter, your dumb ass… https://t.co/QMURsYiGVM | 0
29 | Donald J. Trump | WITCH HUNT! | @realDonaldTrump You took an oath. You did not even pretend to protect US from Russian interfering. CONSPIRACY https://t.co/nvMzbw7EPK | 0
30 | Donald J. Trump | WITCH HUNT! | @realDonaldTrump Ahahahahahahahahaha. | 0
31 | Donald J. Trump | WITCH HUNT! | @realDonaldTrump Don’t worry moron, Hope is going to connect all the dots today.  No hush money here and there is n… https://t.co/xlDkKZeutZ | 0
32 | Donald J. Trump | WITCH HUNT! | @realDonaldTrump TREASON! | 2
33 | Donald J. Trump | WITCH HUNT! | @realDonaldTrump You sound nervous | 0
34 | Donald J. Trump | WITCH HUNT! | @realDonaldTrump Bayonetta better watch out. | 0
35 | Donald J. Trump | WITCH HUNT! | @realDonaldTrump https://t.co/3GtsMuhcrL | 0
36 | Donald J. Trump | WITCH HUNT! | @realDonaldTrump #TrumpColluded #TrumpCorruption #TrumpLies https://t.co/JXX12xt1dx | 0
37 | Donald J. Trump | WITCH HUNT! | @realDonaldTrump 😂😂😂 #TrumpRussia 😎 https://t.co/c40GiHG867 | 0
38 | Donald J. Trump | WITCH HUNT! | @realDonaldTrump My goodness, is it witch season again ALREADY? I still have some of last years witches in the freezer. | 0
39 | Donald J. Trump | WITCH HUNT! | @realDonaldTrump Mueller wont miss. | 0
40 | Donald J. Trump | WITCH HUNT! | @realDonaldTrump Is it still considered a witchhunt if the witch is guilty? | 0
41 | Donald J. Trump | WITCH HUNT! | @realDonaldTrump  https://t.co/vCRhw7iqcQ | 0
42 | Donald J. Trump | WITCH HUNT! | @realDonaldTrump So why are you so scared? You told us of your bravery in how you could take on a gunman unarmed bu… https://t.co/rYSW8JQhDZ | 0
43 | Donald J. Trump | WITCH HUNT! | @realDonaldTrump  https://t.co/VZk5Kj2yiy | 0
44 | Donald J. Trump | WITCH HUNT! | @realDonaldTrump A very successful hunt thats rounding up lots of witches. Cant wait till they get the Queen Witch himself. | 0
45 | Donald J. Trump | WITCH HUNT! | @realDonaldTrump Something vex’s you? | 0
46 | Donald J. Trump | WITCH HUNT! | @realDonaldTrump President Id is getting scared! | 0
47 | Donald J. Trump | WITCH HUNT! | @realDonaldTrump A witch hunt doesn’t produce over a dozen indictments and five guilty pleas, hey what ever makes y… https://t.co/KhGE1HVAAy | 0
48 | Donald J. Trump | WITCH HUNT! | @realDonaldTrump Freaking out much? 🤔 | 0
49 | Donald J. Trump | WITCH HUNT! | @realDonaldTrump Uh oh, looks like something is about to drop.  Get the popcorn ready! | 0
50 | Kim Kardashian West | 💗 baby Chicago 💗 https://t.co/tZJZeuTZ0R | @KimKardashian Wow | 2
51 | Kim Kardashian West | 💗 baby Chicago 💗 https://t.co/tZJZeuTZ0R | @KimKardashian Beautiful | 2
52 | Kim Kardashian West | 💗 baby Chicago 💗 https://t.co/tZJZeuTZ0R | @KimKardashian cute | 2
53 | Kim Kardashian West | 💗 baby Chicago 💗 https://t.co/tZJZeuTZ0R | @KimKardashian She is so beautiful ❤️️❤️️ | 2
54 | Kim Kardashian West | 💗 baby Chicago 💗 https://t.co/tZJZeuTZ0R | @KimKardashian is that Kanye West child? | 2
55 | Kim Kardashian West | 💗 baby Chicago 💗 https://t.co/tZJZeuTZ0R | @KimKardashian Chicago? What the fuck | 0
56 | Kim Kardashian West | 💗 baby Chicago 💗 https://t.co/tZJZeuTZ0R | @KimKardashian Cute😍 | 2
57 | Kim Kardashian West | 💗 baby Chicago 💗 https://t.co/tZJZeuTZ0R | @KimKardashian Truuuuu I’m black as hell an my vanna boo is light bright https://t.co/Pj4HZcXATG | 1
58 | Kim Kardashian West | 💗 baby Chicago 💗 https://t.co/tZJZeuTZ0R | @KimKardashian Aaaaw.....Chi is soooooo cute @KimKardashian!! Sooooooo cute!!!🙌🏽🙌🏽🌸🌸 | 2
59 | Kim Kardashian West | 💗 baby Chicago 💗 https://t.co/tZJZeuTZ0R | @KimKardashian @MothibiCharity wow...nyc | 1
60 | Kim Kardashian West | 💗 baby Chicago 💗 https://t.co/tZJZeuTZ0R | @KimKardashian 💕💕💕 | 2
61 | Kim Kardashian West | 💗 baby Chicago 💗 https://t.co/tZJZeuTZ0R | @KimKardashian 😘 | 2
62 | Kim Kardashian West | 💗 baby Chicago 💗 https://t.co/tZJZeuTZ0R | @KimKardashian she is lovely really pretty💟 | 2
63 | Kim Kardashian West | 💗 baby Chicago 💗 https://t.co/tZJZeuTZ0R | @KimKardashian Chi is beautiful, precious. | 2
64 | Kim Kardashian West | 💗 baby Chicago 💗 https://t.co/tZJZeuTZ0R | @KimKardashian cute girl | 2
65 | Kim Kardashian West | 💗 baby Chicago 💗 https://t.co/tZJZeuTZ0R | @KimKardashian oof shes cute | 2
66 | Kim Kardashian West | 💗 baby Chicago 💗 https://t.co/tZJZeuTZ0R | @KimKardashian Good morning sweetie 😍😍😍😘❤ | 2
67 | Kim Kardashian West | 💗 baby Chicago 💗 https://t.co/tZJZeuTZ0R | @KimKardashian So cute | 2
68 | Kim Kardashian West | 💗 baby Chicago 💗 https://t.co/tZJZeuTZ0R | @KimKardashian @Estellavier mal nasceu e tem mais cílios que nos duas | 1
69 | Kim Kardashian West | 💗 baby Chicago 💗 https://t.co/tZJZeuTZ0R | @KimKardashian 😍😍😍💕 | 2
70 | Kim Kardashian West | 💗 baby Chicago 💗 https://t.co/tZJZeuTZ0R | @KimKardashian she is adorable. Love you | 2
71 | Kim Kardashian West | 💗 baby Chicago 💗 https://t.co/tZJZeuTZ0R | @KimKardashian You are very pretty!!!! | 2
72 | Kim Kardashian West | 💗 baby Chicago 💗 https://t.co/tZJZeuTZ0R | @KimKardashian Huniiii | 1
73 | Kim Kardashian West | 💗 baby Chicago 💗 https://t.co/tZJZeuTZ0R | @KimKardashian This is so cute!!! | 2
74 | Kim Kardashian West | 💗 baby Chicago 💗 https://t.co/tZJZeuTZ0R | @KimKardashian Are we saying Chi as Ch-eye , Ch-ee , or Shy ? | 1
75 | Kim Kardashian West | 💗 baby Chicago 💗 https://t.co/tZJZeuTZ0R | @KimKardashian Cute 😍 | 2
76 | Kim Kardashian West | 💗 baby Chicago 💗 https://t.co/tZJZeuTZ0R | @KimKardashian que hermoso.. dios te bendiga siempre y todos tus familiares...!!\n😘😘😊 | 2
77 | Kim Kardashian West | 💗 baby Chicago 💗 https://t.co/tZJZeuTZ0R | @KimKardashian @NomZamoMdhluli https://t.co/YatqLeDh8H | 1
78 | Kim Kardashian West | 💗 baby Chicago 💗 https://t.co/tZJZeuTZ0R | @KimKardashian Awwwwwwwwww so cute | 2
79 | Kim Kardashian West | 💗 baby Chicago 💗 https://t.co/tZJZeuTZ0R | @KimKardashian Too cute!!! 😍 first Northie, then Saintie now Chi! Cuteness overload! 😍😍 god bless them! | 2
80 | Kim Kardashian West | 💗 baby Chicago 💗 https://t.co/tZJZeuTZ0R | @KimKardashian Adorable baby Chicago | 2
81 | Kim Kardashian West | 💗 baby Chicago 💗 https://t.co/tZJZeuTZ0R | @KimKardashian She is beautiful right now the DEA HAVE EVERY PRETTY WHITE WOMAN WEARING 8.88 USD WAL-MART WEEDING R… https://t.co/9zwiMbmCaN | 2
82 | Kim Kardashian West | 💗 baby Chicago 💗 https://t.co/tZJZeuTZ0R | @KimKardashian Next baby’s name is new york and milan and tokyo and east and south 🧐 | 0
83 | Kim Kardashian West | 💗 baby Chicago 💗 https://t.co/tZJZeuTZ0R | @KimKardashian She is beautiful. She favors Kendall. | 2
84 | Kim Kardashian West | 💗 baby Chicago 💗 https://t.co/tZJZeuTZ0R | @KimKardashian Cool | 2
85 | Kim Kardashian West | 💗 baby Chicago 💗 https://t.co/tZJZeuTZ0R | @KimKardashian Que bello Dios lo bendiga es un  hermoso príncipe. | 1
86 | Kim Kardashian West | 💗 baby Chicago 💗 https://t.co/tZJZeuTZ0R | @KimKardashian @tiredofrumors Hermosas..!! 💐💐 | 1
87 | Kim Kardashian West | 💗 baby Chicago 💗 https://t.co/tZJZeuTZ0R | @KimKardashian she looks just like Kim wow so dainty her lashes are so long . Flawless | 2
88 | Kim Kardashian West | 💗 baby Chicago 💗 https://t.co/tZJZeuTZ0R | @KimKardashian She so cute❤️ | 2
89 | Kim Kardashian West | 💗 baby Chicago 💗 https://t.co/tZJZeuTZ0R | @KimKardashian Sweet 👶🏻 | 2
90 | Kim Kardashian West | 💗 baby Chicago 💗 https://t.co/tZJZeuTZ0R | @KimKardashian OMG KIM!!!!!She is so darn CUTE ALL YOUR KIDS ARE SO BEAUTIFUL. LOTS OF LOVE AND BLESSINGS FOR YOU A… https://t.co/riv70nrMoD | 2
91 | Kim Kardashian West | 💗 baby Chicago 💗 https://t.co/tZJZeuTZ0R | @KimKardashian Beautiful | 2
92 | Kim Kardashian West | 💗 baby Chicago 💗 https://t.co/tZJZeuTZ0R | @KimKardashian You lot obsessing over some freaks kid , pay more attention to your own lives and not what’s happening on social media | 0
93 | Kim Kardashian West | 💗 baby Chicago 💗 https://t.co/tZJZeuTZ0R | @KimKardashian # aww kim shes just a doll she is beautiful congrats again.💕💕 | 2
94 | Kim Kardashian West | 💗 baby Chicago 💗 https://t.co/tZJZeuTZ0R | @KimKardashian I think she looks so much like Saint. | 2
95 | Kim Kardashian West | 💗 baby Chicago 💗 https://t.co/tZJZeuTZ0R | @KimKardashian It’s about time u tweeted me back chuck so I can send u a hat xx | 2
96 | Kim Kardashian West | 💗 baby Chicago 💗 https://t.co/tZJZeuTZ0R | @KimKardashian is this kanyes kid🙈 | 0
97 | Kim Kardashian West | 💗 baby Chicago 💗 https://t.co/tZJZeuTZ0R | @KimKardashian Omg, she is absolutely everything!!!!! 😭😭😭♥️♥️♥️♥️♥️ | 2
98 | Kim Kardashian West | 💗 baby Chicago 💗 https://t.co/tZJZeuTZ0R | @KimKardashian  https://t.co/v1riubYgJf | 1
99 | Kim Kardashian West | 💗 baby Chicago 💗 https://t.co/tZJZeuTZ0R | @KimKardashian  https://t.co/E8AVM0nVJC | 1
100 | Jeremy Corbyn | Great to meet Zoran Zaev, prime minister of Macedonia, in my office yesterday. We discussed Brexit, security and so… https://t.co/djV7S8E93f | @jeremycorbyn Twat, probably discussed the price of socialism | 0
101 | Jeremy Corbyn | Great to meet Zoran Zaev, prime minister of Macedonia, in my office yesterday. We discussed Brexit, security and so… https://t.co/djV7S8E93f | @jeremycorbyn Why? | 1
102 | Jeremy Corbyn | Great to meet Zoran Zaev, prime minister of Macedonia, in my office yesterday. We discussed Brexit, security and so… https://t.co/djV7S8E93f | @jeremycorbyn You’ve lost me now over ur last few choices 😡 | 0
103 | Jeremy Corbyn | Great to meet Zoran Zaev, prime minister of Macedonia, in my office yesterday. We discussed Brexit, security and so… https://t.co/djV7S8E93f | @jeremycorbyn Why ?\nMacedonia is not even in the EU ?\n\nHe probably knows even less about he EU than you ! | 0
104 | Jeremy Corbyn | Great to meet Zoran Zaev, prime minister of Macedonia, in my office yesterday. We discussed Brexit, security and so… https://t.co/djV7S8E93f | @jeremycorbyn And another photo op. | 0
105 | Jeremy Corbyn | Great to meet Zoran Zaev, prime minister of Macedonia, in my office yesterday. We discussed Brexit, security and so… https://t.co/djV7S8E93f | @jeremycorbyn He thinks he PM already meeting other PM well we have news for you Mr Traitor. | 0
106 | Jeremy Corbyn | Great to meet Zoran Zaev, prime minister of Macedonia, in my office yesterday. We discussed Brexit, security and so… https://t.co/djV7S8E93f | @jeremycorbyn What a waste of your time as you will never get into power so cannot Make any decisions to do with Macedonia | 0
107 | Jeremy Corbyn | Great to meet Zoran Zaev, prime minister of Macedonia, in my office yesterday. We discussed Brexit, security and so… https://t.co/djV7S8E93f | @jeremycorbyn Im sure Macedonia will bring in 0.0000001% trade activity. | 0
108 | Jeremy Corbyn | Great to meet Zoran Zaev, prime minister of Macedonia, in my office yesterday. We discussed Brexit, security and so… https://t.co/djV7S8E93f | @jeremycorbyn @Muqadaam Corbyn already looking Prime ministerial.👍🏼 | 2
109 | Jeremy Corbyn | Great to meet Zoran Zaev, prime minister of Macedonia, in my office yesterday. We discussed Brexit, security and so… https://t.co/djV7S8E93f | @jeremycorbyn Jeremy Corbyn will do nothing to control immigration and has betrayed ordinary Labour voters. https://t.co/lgzLH6s9IV | 0
110 | Jeremy Corbyn | Great to meet Zoran Zaev, prime minister of Macedonia, in my office yesterday. We discussed Brexit, security and so… https://t.co/djV7S8E93f | @jeremycorbyn Any discussions about shitting all over the electorate and what they really voted for | 0
111 | Jeremy Corbyn | Great to meet Zoran Zaev, prime minister of Macedonia, in my office yesterday. We discussed Brexit, security and so… https://t.co/djV7S8E93f | @jeremycorbyn You do realise your not actually in charge of the country, your not the prime minister and never will be | 0
112 | Jeremy Corbyn | Great to meet Zoran Zaev, prime minister of Macedonia, in my office yesterday. We discussed Brexit, security and so… https://t.co/djV7S8E93f | @jeremycorbyn Nice, another racist to your clan. When will people wake up?\n\nhttps://t.co/xTKjCpFaoO | 0
113 | Jeremy Corbyn | Great to meet Zoran Zaev, prime minister of Macedonia, in my office yesterday. We discussed Brexit, security and so… https://t.co/djV7S8E93f | @jeremycorbyn But Macedonia is not in the EU | 0
114 | Jeremy Corbyn | Great to meet Zoran Zaev, prime minister of Macedonia, in my office yesterday. We discussed Brexit, security and so… https://t.co/djV7S8E93f | @jeremycorbyn And youve admitted openly the Czech spying charges.\nWell what can we say.\nSocialist plan to bring do… https://t.co/NoGxtDLDcx | 0
115 | Jeremy Corbyn | Great to meet Zoran Zaev, prime minister of Macedonia, in my office yesterday. We discussed Brexit, security and so… https://t.co/djV7S8E93f | @jeremycorbyn Guess it gives you something to do at our expense .why not try doing something positive JUST FOR ONCE… https://t.co/GYERHaeoHm | 0
116 | Jeremy Corbyn | Great to meet Zoran Zaev, prime minister of Macedonia, in my office yesterday. We discussed Brexit, security and so… https://t.co/djV7S8E93f | @jeremycorbyn Paul Riser looks like he aged well. | 1
117 | Jeremy Corbyn | Great to meet Zoran Zaev, prime minister of Macedonia, in my office yesterday. We discussed Brexit, security and so… https://t.co/djV7S8E93f | @jeremycorbyn May I suggest you meet with @Peter_Kirkham & discuss security..he👍 states  "Theresa May has blood on… https://t.co/f5uTfrxCB5 | 2
118 | Jeremy Corbyn | Great to meet Zoran Zaev, prime minister of Macedonia, in my office yesterday. We discussed Brexit, security and so… https://t.co/djV7S8E93f | @jeremycorbyn Youve got an office?!\nBe honest, do you hot desk? | 0
119 | Jeremy Corbyn | Great to meet Zoran Zaev, prime minister of Macedonia, in my office yesterday. We discussed Brexit, security and so… https://t.co/djV7S8E93f | @jeremycorbyn Sell crazy some place else. | 0
120 | Jeremy Corbyn | Great to meet Zoran Zaev, prime minister of Macedonia, in my office yesterday. We discussed Brexit, security and so… https://t.co/djV7S8E93f | @jeremycorbyn Jeremy I support you 100 per cent and will continue until you are in number 10 but Macedonia is and always will be Greek. | 2
121 | Jeremy Corbyn | Great to meet Zoran Zaev, prime minister of Macedonia, in my office yesterday. We discussed Brexit, security and so… https://t.co/djV7S8E93f | @jeremycorbyn Another lot you can let in Jeremy! | 0
122 | Jeremy Corbyn | Great to meet Zoran Zaev, prime minister of Macedonia, in my office yesterday. We discussed Brexit, security and so… https://t.co/djV7S8E93f | @jeremycorbyn Yes another country sensibly on track to join #EU whilst you ignore members and voters and work to de… https://t.co/R6Q7eNP9Gp | 0
123 | Jeremy Corbyn | Great to meet Zoran Zaev, prime minister of Macedonia, in my office yesterday. We discussed Brexit, security and so… https://t.co/djV7S8E93f | @jeremycorbyn What a statesman you are jezza....a leader in waiting....hopefully waiting for a long long time....yo… https://t.co/Sq1xYuDTYo | 2
124 | Jeremy Corbyn | Great to meet Zoran Zaev, prime minister of Macedonia, in my office yesterday. We discussed Brexit, security and so… https://t.co/djV7S8E93f | @jeremycorbyn Tomorrow’s Daily Mail headline 😂 | 1
125 | Jeremy Corbyn | Great to meet Zoran Zaev, prime minister of Macedonia, in my office yesterday. We discussed Brexit, security and so… https://t.co/djV7S8E93f | @jeremycorbyn Um, im pretty sure Macedonia, FYR Macedonia whatever its called is not in the EU so why the hell wou… https://t.co/fgdC0Igulh | 0
126 | Jeremy Corbyn | Great to meet Zoran Zaev, prime minister of Macedonia, in my office yesterday. We discussed Brexit, security and so… https://t.co/djV7S8E93f | @jeremycorbyn Jeremy meeting an illegal PM, leader of a junta. Seems fitting. | 0
127 | Jeremy Corbyn | Great to meet Zoran Zaev, prime minister of Macedonia, in my office yesterday. We discussed Brexit, security and so… https://t.co/djV7S8E93f | @jeremycorbyn #LabourFail #LabourLies #Clueless #Brexit  #ImWithMay #TeamTory | 0
128 | Jeremy Corbyn | Great to meet Zoran Zaev, prime minister of Macedonia, in my office yesterday. We discussed Brexit, security and so… https://t.co/djV7S8E93f | @jeremycorbyn Traitors gate for you | 0
129 | Jeremy Corbyn | Great to meet Zoran Zaev, prime minister of Macedonia, in my office yesterday. We discussed Brexit, security and so… https://t.co/djV7S8E93f | @jeremycorbyn Surely you mean FYROM. The Greeks dont like them using the name of a province of Greece as the name of their country. | 1
130 | Jeremy Corbyn | Great to meet Zoran Zaev, prime minister of Macedonia, in my office yesterday. We discussed Brexit, security and so… https://t.co/djV7S8E93f | @jeremycorbyn And what was his view on Brexit? | 1
131 | Jeremy Corbyn | Great to meet Zoran Zaev, prime minister of Macedonia, in my office yesterday. We discussed Brexit, security and so… https://t.co/djV7S8E93f | @jeremycorbyn Was he working for the Czechs? | 1
132 | Jeremy Corbyn | Great to meet Zoran Zaev, prime minister of Macedonia, in my office yesterday. We discussed Brexit, security and so… https://t.co/djV7S8E93f | @jeremycorbyn Why did you discuss Brexit with the head of state of a European country not in the EU? | 0
133 | Jeremy Corbyn | Great to meet Zoran Zaev, prime minister of Macedonia, in my office yesterday. We discussed Brexit, security and so… https://t.co/djV7S8E93f | @jeremycorbyn  https://t.co/H0fFrg4Uax | 0
134 | Jeremy Corbyn | Great to meet Zoran Zaev, prime minister of Macedonia, in my office yesterday. We discussed Brexit, security and so… https://t.co/djV7S8E93f | @jeremycorbyn Fraud! | 0
135 | Jeremy Corbyn | Great to meet Zoran Zaev, prime minister of Macedonia, in my office yesterday. We discussed Brexit, security and so… https://t.co/djV7S8E93f | @jeremycorbyn  https://t.co/PREkofBTGJ | 2
136 | Jeremy Corbyn | Great to meet Zoran Zaev, prime minister of Macedonia, in my office yesterday. We discussed Brexit, security and so… https://t.co/djV7S8E93f | @jeremycorbyn @LabourLeft Careful JC, you don’t want MSM to get the wrong idea 😉❤️ | 2
137 | Jeremy Corbyn | Great to meet Zoran Zaev, prime minister of Macedonia, in my office yesterday. We discussed Brexit, security and so… https://t.co/djV7S8E93f | @jeremycorbyn Try to avoid any diplomatic booboos... Did you mean FYROM? | 1
138 | Jeremy Corbyn | Great to meet Zoran Zaev, prime minister of Macedonia, in my office yesterday. We discussed Brexit, security and so… https://t.co/djV7S8E93f | @jeremycorbyn I just hope he doesnt turn to clandestine activities in the future... 😏 | 1
139 | Jeremy Corbyn | Great to meet Zoran Zaev, prime minister of Macedonia, in my office yesterday. We discussed Brexit, security and so… https://t.co/djV7S8E93f | @jeremycorbyn Hope you told him that many of your members have lost confidence in @UKLabour and won’t vote for you… https://t.co/oIpveaWu43 | 0
140 | Jeremy Corbyn | Great to meet Zoran Zaev, prime minister of Macedonia, in my office yesterday. We discussed Brexit, security and so… https://t.co/djV7S8E93f | @jeremycorbyn macedonian spy! | 0
141 | Jeremy Corbyn | Great to meet Zoran Zaev, prime minister of Macedonia, in my office yesterday. We discussed Brexit, security and so… https://t.co/djV7S8E93f | @jeremycorbyn EU would prefer Jeremy Corbyn as Prime Minister - Says former Polish foreign minister: Radek Sikorski… https://t.co/RDsFxDFdju | 2
142 | Jeremy Corbyn | Great to meet Zoran Zaev, prime minister of Macedonia, in my office yesterday. We discussed Brexit, security and so… https://t.co/djV7S8E93f | @jeremycorbyn it isnt Macedonia you fool it’s Skopje. | 0
143 | Jeremy Corbyn | Great to meet Zoran Zaev, prime minister of Macedonia, in my office yesterday. We discussed Brexit, security and so… https://t.co/djV7S8E93f | @jeremycorbyn You love a former communist regime dont you jezza | 1
144 | Jeremy Corbyn | Great to meet Zoran Zaev, prime minister of Macedonia, in my office yesterday. We discussed Brexit, security and so… https://t.co/djV7S8E93f | @jeremycorbyn  https://t.co/LZKeoi3eHd | 2
145 | Jeremy Corbyn | Great to meet Zoran Zaev, prime minister of Macedonia, in my office yesterday. We discussed Brexit, security and so… https://t.co/djV7S8E93f | @jeremycorbyn  https://t.co/DjO93kY3lu | 2
146 | Jeremy Corbyn | Great to meet Zoran Zaev, prime minister of Macedonia, in my office yesterday. We discussed Brexit, security and so… https://t.co/djV7S8E93f | @jeremycorbyn Did he know he just wasted an afternoon. Poor fella. Hope it was a good lunch. | 0
147 | Jeremy Corbyn | Great to meet Zoran Zaev, prime minister of Macedonia, in my office yesterday. We discussed Brexit, security and so… https://t.co/djV7S8E93f | @jeremycorbyn He’s as well know in the EU as you! | 0
148 | Jeremy Corbyn | Great to meet Zoran Zaev, prime minister of Macedonia, in my office yesterday. We discussed Brexit, security and so… https://t.co/djV7S8E93f | @jeremycorbyn can you meet @VGroysman please! One of the best and legendary PMs in the East of Europe. I could translate ;) | 2
149 | Jeremy Corbyn | Great to meet Zoran Zaev, prime minister of Macedonia, in my office yesterday. We discussed Brexit, security and so… https://t.co/djV7S8E93f | @jeremycorbyn You mean your u turn on brexit | 0
150 | Michael Eric Dyson | So @BarackObama said a cop “acted stupidly,” and law enforcement got enraged, charged him with betraying them, his… https://t.co/4zuV1PSMk0 | @MichaelEDyson @BarackObama @realDonaldTrump And President Obamas statement was correct (although impolitic). | 2
151 | Michael Eric Dyson | So @BarackObama said a cop “acted stupidly,” and law enforcement got enraged, charged him with betraying them, his… https://t.co/4zuV1PSMk0 | @MichaelEDyson @BarackObama @realDonaldTrump Do you think that most cops are looking at what happened in Florida an… https://t.co/iQCOMR1hkt | 1
152 | Michael Eric Dyson | So @BarackObama said a cop “acted stupidly,” and law enforcement got enraged, charged him with betraying them, his… https://t.co/4zuV1PSMk0 | @MichaelEDyson @sandyl06 @BarackObama @realDonaldTrump Because @realDonaldTrump is right. You have no business in a… https://t.co/dg5osYZV24 | 2
153 | Michael Eric Dyson | So @BarackObama said a cop “acted stupidly,” and law enforcement got enraged, charged him with betraying them, his… https://t.co/4zuV1PSMk0 | @MichaelEDyson @GetWisdomDude @BarackObama @realDonaldTrump It’s 🤬tRump amerikkka | 1
154 | Michael Eric Dyson | So @BarackObama said a cop “acted stupidly,” and law enforcement got enraged, charged him with betraying them, his… https://t.co/4zuV1PSMk0 | @MichaelEDyson @BarackObama @realDonaldTrump The hypocracy is deafening #Can’tHaveItBothWays | 2
155 | Michael Eric Dyson | So @BarackObama said a cop “acted stupidly,” and law enforcement got enraged, charged him with betraying them, his… https://t.co/4zuV1PSMk0 | @MichaelEDyson @BarackObama @realDonaldTrump Your kidding right? Trump is called a racist every day, so please stop with the garbage. | 0
156 | Michael Eric Dyson | So @BarackObama said a cop “acted stupidly,” and law enforcement got enraged, charged him with betraying them, his… https://t.co/4zuV1PSMk0 | @MichaelEDyson @BarackObama @realDonaldTrump You must not be very good at critical thinking. It might have to do wi… https://t.co/fpY9QAtCUc | 0
157 | Michael Eric Dyson | So @BarackObama said a cop “acted stupidly,” and law enforcement got enraged, charged him with betraying them, his… https://t.co/4zuV1PSMk0 | @MichaelEDyson @BarackObama @realDonaldTrump Because they agree with him | 0
158 | Michael Eric Dyson | So @BarackObama said a cop “acted stupidly,” and law enforcement got enraged, charged him with betraying them, his… https://t.co/4zuV1PSMk0 | @MichaelEDyson @AprilDRyan @BarackObama @realDonaldTrump Very sad. | 2
159 | Michael Eric Dyson | So @BarackObama said a cop “acted stupidly,” and law enforcement got enraged, charged him with betraying them, his… https://t.co/4zuV1PSMk0 | @MichaelEDyson @BarackObama @realDonaldTrump #racism | 2
